,year,ein,object_id,taxpayer_name,form,source,compensation,income,revenue,assets,expenses
0,2018,941105628.0,2.0184312934930253e+17,KAISER FOUNDATION HOSPITALS,IRS990,part_i,8438687895.0,3170107570.0,26166721492.0,51507506504.0,22996613922.0
1,2018,941105628.0,2.0184312934930253e+17,,IRS990,part_i,8438687895.0,3170107570.0,26166721492.0,51507506504.0,22996613922.0
2,2018,840591617.0,2.018331293493024e+17,KAISER FOUNDATION HEALTH PLAN OF COLORADO,IRS990,part_i,747488942.0,-52036522.0,4016833292.0,1797185853.0,4068869814.0
3,2018,840591617.0,2.018331293493024e+17,,IRS990,part_i,747488942.0,-52036522.0,4016833292.0,1797185853.0,4068869814.0
4,2018,930863097.0,2.0180319934930003e+17,PROVIDENCE HEALTH PLAN,IRS990,part_i,82494502.0,15070071.0,1390827146.0,792530930.0,1375757075.0
5,2018,930863097.0,2.0180319934930003e+17,,IRS990,part_i,82494502.0,15070071.0,1390827146.0,792530930.0,1375757075.0
6,2018,550828701.0,2.018231993493008e+17,PROVIDENCE HEALTH ASSURANCE,IRS990,part_i,26360663.0,37829021.0,725417861.0,354542756.0,687588840.0
7,2018,550828701.0,2.018231993493008e+17,,IRS990,part_i,26360663.0,37829021.0,725417861.0,354542756.0,687588840.0
8,2018,930223960.0,2.018122693493023e+17,ASANTE,IRS990,part_i,367742801.0,72669818.0,703865554.0,1171131040.0,631195736.0
9,2018,930223960.0,2.018122693493023e+17,,IRS990,part_i,367742801.0,72669818.0,703865554.0,1171131040.0,631195736.0
10,2018,930933975.0,2.0180309934930246e+17,CAREOREGON INC,IRS990,part_i,76035386.0,-40584478.0,861208485.0,417596891.0,901792963.0
11,2018,930933975.0,2.0180309934930246e+17,,IRS990,part_i,76035386.0,-40584478.0,861208485.0,417596891.0,901792963.0
12,2018,455093195.0,2.0180283934930125e+17,HEALTH SHARE OF OREGON,IRS990,part_i,0.0,-2579069.0,1187007977.0,97135771.0,1189587046.0
13,2018,455093195.0,2.0180283934930125e+17,,IRS990,part_i,0.0,-2579069.0,1187007977.0,97135771.0,1189587046.0
14,2018,930386823.0,2.0193046934930234e+17,LEGACY EMANUEL HOSPITAL AND HEALTH CENTER,IRS990,part_i,574883428.0,-40532975.0,934290343.0,605104820.0,974823318.0
